Track Name,Playcount,Disc Number,Track Number,Duration (min),Artist Name
Let You Down," 1,307,647,817 ",1,6,3.535333333,NF
Lie," 497,249,991 ",1,13,3.486883333,NF
The Search," 461,405,077 ",1,1,4.134216667,NF
If You Want Love," 432,988,004 ",1,10,3.3231,NF
When I Grow Up," 287,850,645 ",1,8,3.28,NF
Paralyzed," 266,612,643 ",1,10,4.50755,NF
Time," 223,963,845 ",1,6,4.007133333,NF
WHY," 191,751,167 ",1,17,3.132216667,NF
Time - Edit," 181,781,259 ",1,20,3.8435,NF
How Could You Leave Us," 174,416,514 ",1,4,5.376433333,NF
Hate Myself," 150,812,986 ",1,12,4.33755,NF
Remember This," 140,922,591 ",1,11,4.006433333,NF
Leave Me Alone," 139,704,317 ",1,2,5.144183333,NF
Therapy Session," 136,144,365 ",1,2,5.524666667,NF
Mansion," 135,250,475 ",1,2,5.387766667,NF
CLOUDS," 130,700,616 ",1,1,4.062666667,NF
PAID MY DUES," 125,262,363 ",1,10,3.527383333,NF
Lost In The Moment," 116,265,283 ",1,14,4.044666667,NF
Change," 111,119,277 ",1,3,3.901233333,NF
Grindin'," 109,081,136 ",1,10,4.62155,NF
JUST LIKE YOU," 107,414,937 ",1,3,4.187266667,NF
My Stress," 101,247,365 ",1,4,4.21185,NF
Real," 98,855,988 ",1,6,4.384,NF
I Miss The Days," 98,391,999 ",1,13,4.4864,NF
Only," 97,547,232 ",1,9,3.757333333,NF
Can You Hold Me," 92,847,496 ",1,12,3.686666667,NF
Got You On My Mind," 91,989,683 ",1,9,4.019333333,NF
Intro III," 89,520,589 ",1,1,4.477766667,NF
Dreams," 88,501,741 ",1,5,3.692883333,NF
My Life," 88,093,700 ",1,8,3.593333333,NF
Oh Lord," 87,896,938 ",1,7,3.304216667,NF
10 Feet Down," 86,601,622 ",1,3,3.618433333,NF
Green Lights," 83,737,812 ",1,4,3.0311,NF
LOST," 76,775,396 ",1,6,3.9142,NF
Trauma," 75,825,727 ",1,19,4.120666667,NF
All I Have," 75,071,972 ",1,3,4.136883333,NF
HOPE," 73,986,069 ",1,1,4.407883333,NF
Nate," 69,195,739 ",1,5,5.035333333,NF
Let Me Go," 68,645,356 ",1,10,4.629616667,NF
Wake Up," 68,404,968 ",1,5,3.882666667,NF
Returns," 65,916,403 ",1,7,3.86755,NF
Outcast," 64,305,820 ",1,2,5.428666667,NF
No Excuses," 60,670,346 ",1,14,3.362,NF
Destiny," 60,625,504 ",1,7,3.991333333,NF
You're Special," 58,832,771 ",1,9,5.20555,NF
Options," 55,139,212 ",1,16,3.434,NF
DRIFTING," 52,635,184 ",1,8,3.33415,NF
Like This," 51,164,464 ",1,15,3.460666667,NF
Intro," 50,319,311 ",1,1,3.323333333,NF
3 A.M.," 49,285,729 ",1,14,3.636666667,NF
TRUST," 48,796,233 ",1,9,4.406916667,NF
THAT'S A JOKE," 48,344,661 ",1,2,3.8276,NF
I Just Wanna Know," 45,795,270 ",1,3,3.771766667,NF
Notepad," 44,767,940 ",1,8,3.643333333,NF
Wait," 41,071,418 ",1,4,4.033333333,NF
Know," 39,992,324 ",1,12,3.977766667,NF
Outro," 39,345,713 ",1,16,3.536433333,NF
Intro 2," 38,449,580 ",1,1,3.26555,NF
Thinking," 38,442,982 ",1,18,3.202,NF
HAPPY," 38,095,079 ",1,5,4.04485,NF
STORY," 37,932,115 ",1,4,4.665666667,NF
LAYERS," 35,949,729 ",1,7,3.253766667,NF
MOTTO," 35,366,041 ",1,2,3.621183333,NF
Turn The Music Up," 33,078,179 ",1,9,3.32,NF
One Hundred," 31,742,307 ",1,15,3.213333333,NF
PRIDEFUL," 31,026,674 ",1,5,3.429466667,NF
Breathe," 29,996,357 ",1,5,4.318433333,NF
I'll Keep On," 27,306,472 ",1,11,4.244883333,NF
All I Do," 25,457,442 ",1,13,3.808216667,NF
Motivated," 23,509,778 ",1,7,4.353333333,NF
Statement," 23,263,810 ",1,12,3.182,NF
Face It," 21,793,541 ",1,6,3.666,NF
CLOUDS - Edit," 21,247,511 ",1,11,3.828116667,NF
-Interlude-," 20,540,758 ",1,11,0.816666667,NF
Wish You Wouldn't," 20,378,293 ",1,11,4.7711,NF
CAREFUL," 20,199,195 ",1,3,3.491666667,NF
I Can Feel It," 19,944,702 ",1,8,3.892883333,NF
RUNNING," 17,572,178 ",1,13,4.225533333,NF
GONE," 14,985,674 ",1,8,4.101966667,NF
MISTAKE," 13,275,740 ",1,11,3.586433333,NF
PANDEMONIUM," 12,549,818 ",1,6,3.283433333,NF
MAMA," 10,074,703 ",1,4,3.470216667,NF
BULLET," 10,053,720 ",1,9,3.7085,NF
SUFFICE," 9,577,486 ",1,7,4.425483333,NF
LET EM PRAY," 8,369,421 ",1,12,3.559616667,NF
TURN MY BACK," 8,024,336 ",1,10,3.601616667,NF
," 8,596,694,624 ",,,,
," $275,094,227.97 ",,,,
